"hryear4","prtage","hufaminc","pesex","avg_net_use","n"
2015,6,5,1,91.9463087248322,149
2015,6,5,2,88.75,160
2015,6,6,1,92.6070038910506,257
2015,6,6,2,90.1023890784983,293
2015,6,7,1,91.5014164305949,353
2015,6,7,2,90.176322418136,397
2015,6,8,1,90.2843601895735,422
2015,6,8,2,91.4351851851852,432
2015,6,9,1,88.135593220339,413
2015,6,9,2,87.2685185185185,432
2015,6,10,1,90.818858560794,403
2015,6,10,2,91.7274939172749,411
2015,6,11,1,91.9424460431655,695
2015,6,11,2,92.8783382789317,674
2015,6,12,1,91.8767507002801,714
2015,6,12,2,93.7950937950938,693
2015,6,13,1,94.2946058091286,964
2015,6,13,2,94.7019867549669,906
2015,6,14,1,93.7894736842105,950
2015,6,14,2,94.7885939036382,1017
2015,6,15,1,92.2826086956522,920
2015,6,15,2,94.0451745379877,974
2015,6,16,1,93.0675909878683,577
2015,6,16,2,94,600
2015,7,1,1,75.1488095238095,672
2015,7,1,2,76.8421052631579,855
2015,7,2,1,75.8269720101781,393
2015,7,2,2,74.3346007604563,526
2015,7,3,1,73.3333333333333,555
2015,7,3,2,72.8423475258918,869
2015,7,4,1,72.9863692688971,807
2015,7,4,2,73.2510288065844,1215
2015,7,5,1,73.7400530503979,754
2015,7,5,2,73.8859180035651,1122
2015,7,6,1,75.9259259259259,1242
2015,7,6,2,75.7085020242915,1729
2015,7,7,1,79.2852816474864,1651
2015,7,7,2,80.2843601895735,2110
2015,7,8,1,82.734236888627,1697
2015,7,8,2,84.0057636887608,2082
2015,7,9,1,84.7229414810979,1931
2015,7,9,2,85.4569420035149,2276
2015,7,10,1,86.3716814159292,1695
2015,7,10,2,86.9655891553702,1918
2015,7,11,1,89.4718185040766,2821
2015,7,11,2,89.8447606727038,3092
2015,7,12,1,91.1927877947295,2884
2015,7,12,2,90.6683480453972,3172
2015,7,13,1,92.4074574439341,3701
2015,7,13,2,92.9269547325103,3888
2015,7,14,1,93.2855863921218,4468
2015,7,14,2,93.0446194225722,4572
2015,7,15,1,93.7754883022108,4659
2015,7,15,2,93.8319363851279,4653
2015,7,16,1,94.1765480895916,3795
2015,7,16,2,93.8314278117522,3761
2015,NA,1,1,70.3703703703704,432
2015,NA,1,2,72.6161369193154,409
2015,NA,2,1,71.8875502008032,249
2015,NA,2,2,71.5302491103203,281
2015,NA,3,1,73.5042735042735,234
2015,NA,3,2,81.7460317460317,252
2015,NA,4,1,78.0885780885781,429
2015,NA,4,2,72.8855721393035,402
2015,NA,5,1,75,332
2015,NA,5,2,73.5449735449735,378
2015,NA,6,1,75.7281553398058,618
2015,NA,6,2,74.4347826086957,575
2015,NA,7,1,73.1836195508587,757
2015,NA,7,2,71.6480446927374,716
2015,NA,8,1,77.1526980482204,871
2015,NA,8,2,74.4155844155844,770
2015,NA,9,1,77.5923718712753,839
2015,NA,9,2,77.5294117647059,850
2015,NA,10,1,79.1147994467497,723
2015,NA,10,2,76.7180925666199,713
2015,NA,11,1,80.4674457429048,1198
2015,NA,11,2,79.7435897435898,1170
2015,NA,12,1,79.2372881355932,1180
2015,NA,12,2,77.9112754158965,1082
2015,NA,13,1,79.987253027406,1569
2015,NA,13,2,79.7202797202797,1430
2015,NA,14,1,81.3146997929607,1932
2015,NA,14,2,80.9322033898305,1888
2015,NA,15,1,82.4569567240577,2149
2015,NA,15,2,80.6879606879607,2035
2015,NA,16,1,81.9948186528497,1544
2015,NA,16,2,80.7613868116927,1471
2015,NA,NA,NA,0,20705
2017,4,1,1,93.0693069306931,101
2017,4,1,2,93.8144329896907,97
2017,4,2,1,87.5,48
2017,4,2,2,92.5,40
2017,4,3,1,91.4285714285714,35
